Name	Start Date	Location	External URL
2nd International Conference on Smart Systems and Wireless Communication	11/21/2025	Kalyani, India	https://www.jiscollege.ac.in/sswc2025/
5th International Conference on Advancement in Electronics & Communication Engineering 2025	11/21/2025	GHAZIABAD, INDIA	https://aece2025.rkgitedu.in/
International Conference onSustainTech2025: Innovation, Integration, and Intelligence for a Sustainable Future	11/21/2025	Pune, India	https://engg.dypvp.edu.in/sustainTech2025/Default.aspx
3rd International Conference on Communication Technology Research & Data Analystics (ICCTRDA 2025)	11/21/2025	Da Nang, India	https://www.iccrda-conf.com
21th International Symposium on Medical Information Processing and Analysis 2025	11/19/2025	Pasto, Colombia	https://sipaim.org/
2nd International Conference on Artificial Intelligence and Emerging Technologies 2.0 (AISUMMIT 2025): Global AI Summit 2025	11/19/2025	Greater Noida, India	https://www.bennett.edu.in/aisummit2025
25th ICTer International Conference	11/18/2025	Colombo, Sri Lanka	https://icter.lk
2025 The 13th International Conference on Awareness Science and Technology	11/18/2025	Yogyakarta, Indonesia	https://icast2025.uksw.edu/
2025 International Geomechanics Conference (IGS)	11/17/2025	Al Khobar, Saudi Arabia	https://www.igsevent.org/call-for-abstract/
1st National Seminar On Innovative Materials, Construction and Environmental	11/18/2025	Skikda, Algeria	http://nsimce.enset-skikda.dz/
International Conference on Computational Engineering, Sensing Technology and Management ICCETM2025	11/18/2025	Western Sydney, Australia	https://amity.edu/iccetm2025/default.asp#
2025 3rd Power Electronics and Power System Conference	11/13/2025	Kuala Lumpur, Malaysia	https://www.pepsc.org/
2025 8th International Conference on Data Science and Information Technology (DSIT 2025)	11/14/2025	Beijing, China	https://www.dsit2025.net/
3ème Conférence Nationale sur les Télécommunications et ses Applications	11/15/2025	Ain Temouchent, Algeria	https://sites.google.com/view/cnta2025
International Conference on Intelligent Technologies for Engineering, Computing Science	11/15/2025	Narasaraopeta, INDIA	https://cnfer.co.in/
The 6th Student Symposium on ICT	11/14/2025	Ho Chi Minh, Vietnam	https://ssict.hcmus.edu.vn/
Second International Conference on Engaged Learning and Innovative Teaching in Higher Education 2025	11/12/2025	hong kong, Hong Kong SAR	https://www.twc.edu.hk/en/twc/Teaching_and_Learning/CITL/ELITE/page/ELITE2025CFP
The 17th National Conference of Information Technology	11/12/2025	Phuket, Thailand	https://ncit2025.computing.psu.ac.th/
1st IEEE International Conference on Application of Information Technologies in Engineering, Management and Science (ICAI-TEMS)	11/11/2025	Cosenza, Italy	https://icai-tems.eu/
International Conference on Engineering & Computing Technologies 2025	11/13/2025	Islamabad, Pakistan	https://numl.edu.pk/icect/
Applications of Artificial Intelligence in Computational Information and Communication Technologies	11/13/2025	Delhi, India	https://nsutec-conf.org
First International Conference on Advances in Artificial Intelligence for Society	11/13/2025	Ajman, UAE	https://www.ica2s.com/
THE 10th SMART CITY APPLICATIONS International Conference	11/11/2025	Tangier, Morocco	https://sca.medi-asd.org/
The 45th Annual NANO Testing Symposium	11/11/2025	Osaka, Japan	https://inanot.sakura.ne.jp/nanots/en/
International Conference of Artificial Intelligence and Its Applications 2025	11/12/2025	Kuala Lumpur, Malaysia	https://fai.utm.my/iconai2025/
3rd International Conference of Environmental Sciences	11/11/2025	Ilorin, Nigeria	https://sites.google.com/unilorin.edu.ng/ices2025/home
Innovations of Intelligent Informatics, Networking, and Cybersecurity 2025	11/12/2025	Babil, Iraq	http://3inc.uobabylon.edu.iq
6th IEEE Women in Technology Conference 2025	11/12/2025	BENGALURU, INDIA	https://wintechcon.com/
Asian Conference on Pattern Recognition	1/25/2025	Gold Coast, Australia	http://acpr2025.com/
The 9th International Conference on Future Networks & Distributed Systems	11/11/2025	Béjaia, Algeria	https://icfnds25.estin.dz/
VIII Ibero-American Congress of Smart Cities	11/10/2025	Puebla, Mexico	https://icsc-cities.com/
Entrepreneurship for Sustainability and Impact: Frontier Technologies for Resilient Economies	11/8/2025	DOHA, Qatar	https://www.qu.edu.qa/en-us/conference/esi2025/
International Conference on Environment, Management, Treatment and Sustainable Development	11/8/2025	Algiers, Algeria	https://egtdd2025.com/
2025 3rd International Conference on SmartRail, Traffic and Transportation Engineering	11/7/2025	Pingtan Island, China	http://www.icstte.org
2025 5th International Conference on Mechanical, Aerospace and Automotive Engineering	11/7/2025	Wenchang, China	http://www.cmaae.org
India HCI 2025 - The 16th International Conference of Human-Computer Interaction (HCI) Design & Research	11/7/2025	Delhi, India	https://www.2025.indiahci.org
History of Education Society 2025 Annual Meeting	11/6/2025	Providence, United States	https://www.historyofeducation.org/annual-meeting/2025-annual-meeting-call-for-proposals/
2025 2nd International Conference on Green Technology and Energy Engineering	11/7/2025	Kuala Lumpur, Malaysia	https://www.ic-gtee.org/
2025 8th International Conference on Machine Learning and Natural Language Processing (MLNLP 2025)	11/7/2025	Hangzhou, China	https://www.mlnlp2025.net/
History of Education Annual Meeting 2024	11/5/2025	Chicago, USA	https://www.historyofeducation.org/annual-meeting/
Peace, Resistance, Reconciliation	11/5/2025	New Plymouth, New Zealand	https://www.iprapeace.org/ipra2025
Sixth International Conference on Research in Management & Technovation	11/7/2025	Hanoi, Vietnam	http://www.icrmat.com
IEEE International Conference on Emerging Engineering Technologies and Applications	11/6/2025	Indore, India	https://conference.medicaps.ac.in
International Conference on Emerging Trends in Computational Intelligence	11/7/2025	Delhi NCR, Ghaziabad, India	https://www.kiet.edu/icetci2025/index.html
International Conference on Advances in Computational Intelligence and Applications	11/7/2025	New Delhi, India	https://iitmjanakpuri.com/ICACIA2025/
Northeast Business and Economics Association Conference 2025	11/6/2025	Galloway, USA	http://www.nbea.us
"International Conference on Intelligent Networks & Multidisciplinary Engineering Science Solutions"	11/7/2025	MEERUT, INDIA	https://iimtu.edu.in/inmess-2025
13th International Conference on Intelligent Embedded MicroElectronics Communication and Optical Networks	11/6/2025	Jaipur, India	https://iemecon2025.uem.edu.in/
2025 10th International Conference on Energy Efficiency and Agricultural Engineering	11/5/2025	Starozagorski Bani, Bulgaria	https://eeae-conf.uni-ruse.bg
5th IEEE International Conference on Technological Advancements in Computational Sciences (ICTACS-2025)	11/6/2025	Amity University in Tashkent, Uzbekistan	https://amity.edu/ICTACS2025/
IEEE International Conference on Distributed Ledger Technologies (IEEE ICDLT)	11/5/2025	Pune, India	https://ieeeicdlt.org
2025 IEEE 4th International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)	11/6/2025	New Delhi, India	https://temsmet2025.org
Future Technologies Conference 25	11/6/2025	Munich, Germany	https://saiconference.com/FTC/CallforPapers
2025 Academy of Latin American Business and Sustainability Studies Conference	11/4/2025	San Miguel, El Salvador	https://albus.lat/
1st Future International Conference on AI and Cybersecurity (FICAC25)	11/5/2025	Cairo, Egypt	https://www.fue.edu.eg/icac25/
The 5th Biennial African Human Computer Interaction Conference 2025	11/1/2025	Cairo, Egypt	https://www.africhi2025.org/
2025 IEEE International Conference on Quantum Artificial Intelligence	11/2/2025	Naples, Italy	http://qai2025.unina.it
International Conference on Image Processing, Wavelet and Applications	11/3/2025	İstanbul, Türkiye	https://iww.itu.edu.tr/
The International Conference on Machine Intelligence and Nature-inspireD Computing (MIND)	10/31/2025	Xiamen, China	https://www.ic-mind.org/
International Conference on Micro Nano Fluidics	10/31/2025	Guwahati , India	https://event.iitg.ac.in/icom2025/
The 13th International Conference on Image and Graphics	10/30/2025	Xuzhou, China	https://icig.csig.org.cn/icig2025/
International Conference on Data-Processing and Networking (ICDPN-2025)	10/31/2025	České Budějovice, Czech Republic, India	http://icdpn-conf.com
3rd International conference on Advances in Computing, Communication and information technology (ICAICCIT-2025) (IEEE Delhi section approval in progress)	10/31/2025	Faridabad, India	https://icaiccit-2025.vercel.app
Artificial Intelligence, Computing Technologies, Internet of Things - IoT and Data Analytics	10/30/2025	Vizianagaram, India	https://aicta.lendi.edu.in/
25th Conference on the Electric Power Supply Industry (CEPSI)	10/27/2025	Singapore, Singapore	https://aesieap.com/cepsi-2025/call-for-papers/
2025 4th International Interdisciplinary Conference on Research & Opportunities	10/30/2025	Tangerang, Indonesia	https://iicro.org/2025/
International Conference on Electrical, Electronics And Computer Science With Advance Power Technologies - A Future Trend	10/29/2025	Jamshedpur, India	https://ice2cpt.com/
International Conference on Geometric Science of Information 2025	10/29/2025	Saint-Malo, France	https://conference-gsi.org/
Workshop on Engineering Applications 2025 Artificial Intelligence, Optimization and Simulation	10/29/2025	Cali, Colombia	https://ieee.udistrital.edu.co/wea2025/
2 nd International Conference on computational intelligence and computing applications	10/30/2025	SAMALKHA, PANIPAT	https://www.piet.co.in/ICCICA25/
Canadian Agri-food & Rural Advisory, Extension, and Education	10/29/2025	Guelph, Canada	http://www.caree.ca
The 13th International Conference on Software Engineering Research and Innovation - CONISOFT 2025	10/27/2025	La Paz, Mexico	https://conisoft.org/2025/
7th International Conference on Cybernetics, Cognition and Machine Learning Applications	10/29/2025	Elmshorn, Germany	https://www.intdatacon.com/
14th INTERNATIONAL CONFERENCE ON RENEWABLE ENERGY RESEARCH AND APPLICATIONS	10/27/2025	Vienna, Austria	https://www.icrera.org/index.php?id=main
International Conference on Physics and Its Applications in Fundamental Sciences and Engineering 2025	10/28/2025	Medea, Algeria	https://www.univ-medea.dz/icpafse2025/
The Global Conference on Sustainable Energy and Net-Zero Emissions	10/28/2025	Hail, Saudi Arabia	https://conferences.uoh.edu.sa/Conference/SENZE'25
The First International Conference on Robotics, Artificial Intelligence & Innovation Engineering 2025	10/27/2025	Al Hoceima, Morocco	https://icraii.org/
2nd International Conference on Artificial Intelligence and Its Applications	10/27/2025	Mascara, Algeria	https://www.univ-mascara.dz/icaita25
Asia-Pacific Management Accounting Association 2025 Annual Conference	10/24/2025	Shah Alam, Malaysia	https://s-ueno.sakura.ne.jp/APMAA_asia/APMAA2025_Malaysia_Conference.htm
2025 4th Asian Conference on Frontiers of Power and Energy	10/24/2025	Chengdu, China	https://www.acfpe.org/
The 22nd International Forum of Digital Multimedia Communication	10/25/2025	Taiyuan, China	http://www.siga.org.cn/xshd/iftc2025.html
2025 4th International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2025)	10/24/2025	Chengdu, China	https://www.admit2025.net/
2025 4th International Conference on Computing, Big Data and Internet of Things (CCBDIoT 2025)	10/24/2025	Chengdu, China	https://www.ccbdiot.net/
International Conference on Intelligent Control and Automation Applications	10/24/2025	Kunming, China	https://bdaitmconference.com/ICAA/index.asp
2025 International Conference on Computer Vision and Machine Learning	10/23/2025	Chengdu, China	https://www.iccvml.com
2025 3rd International Conference on Advanced Unmanned Aerial Systems	10/23/2025	Dongguan, China	http://www.icuasa.org
4th International Conference on Circuits, Controls and Communication	10/24/2025	Bangalore, India	http://www.ccube25.com
International Conference on Communication, Computer, and Information Technology (IC3IT-2025)	10/24/2025	Mandya, India	https://mysururoyal.org/ieeecon-2025/
2nd International Conference on Hybrid Intelligence: Theories and Applications	10/24/2025	Cuttack, Odisha, INDIA	https://hita.stemrs.in/
International Conference on Intelligent Systems and Vision Technology in Eye Care 2025	10/24/2025	CHENNAI, INDIA	https://licet.ac.in/isvtec2025/
Trends in Marine Host-Microbe Symbioses 2	10/22/2025	Padova, Italy	https://marinesymbioses.eu/
5th International Conference on Artificial Intelligence and Knowledge Processing	10/23/2025	Hyderabad, India	https://aikp25.aircwou.in/
Conference on Applied Machine Learning for Information Security	10/24/2024	Arlington, United States of America	https://www.camlis.org/
Interdisciplinary Management Research XXI	10/23/2025	Osijek, Croatia	https://imr-conference.com/en/
Performativity(ies) of Memory(ies): Interdisciplinary Conference	10/23/2025	Viana do Castelo, Portugal	https://pmic2025.wordpress.com/
21st International Conference on Advanced Data Mining and Applications 2025	10/22/2025	Kyoto, Japan	https://adma2025.github.io/
International Conference on Electrical Systems and Automation	10/22/2025	Troyes, Frannce	http://www.icesa.ma
18th Association for Health Information and Libraries in Africa (AHILA) Conference 2025	10/20/2024	Lusaka, Zambia	https://ahila.unza.zm/
1st International Conference on Computational Intelligence, Emerging Technologies & Sustainable Development	10/23/2025	HYDERABAD, INDIA	https://icciets.com/
Asia-Pacific Signal and Information Processing Association Annual Summit and Conference 2025	10/21/2025	Singapore, Singapore	https://www.apsipa2025.org/wp/
AlC 2025 the 16th Congress of the International Colour Association	10/18/2025	Taipei, Taiwan	https://www.aic2025.org/
International Conference on Advances in Technology and Computing (ICATC) 2025	3/1/2025	Kelaniya, Sri Lanka	https://icatc.kln.ac.lk/
International Conference on Emerging Trends in Psychosocial Wellbeing 2025	10/21/2025	Windhoek, Namibia	https://www.unam.edu.na/etpw2025
International Telemetering Conference 2025	10/20/2025	Las Vegas, NV, USA	https://telemetry.org
1st International Conference on Cyber Security and Artificial Intelligence Applications	10/21/2025	Oran, Algeria	https://www.univ-usto.dz/I2CSAI2025/
6th International Clinical Engineering & Health Technology Management Congress	10/17/2025	Shenzhen, China	https://www.globalcea.org/icehtmc-2025
The 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering	10/16/2025	Zanzibar, Tanzania	http://www.iceccme.com/2025/
2025 4th International Conference on Advanced Control, Automation and Robotics	10/17/2025	Cosenza, Italy	http://www.icacar.org
15th International Conference on Computer Engineering and Networks	10/17/2025	Hefei, China	https://www.tocenet.org/
2025 4th International Symposium on Computing and Artificial Intelligence	10/17/2025	Xi'an, China	http://www.iscai.org
The 8th Chinese Conference on Pattern Recognition and Computer Vision	10/16/2025	Shanghai, China	http://2025.prcv.cn/
The 22th International Conference on Web Information Systems and Applications	10/17/2025	Xi'an, China	https://mp.weixin.qq.com/s/pij6mFKKn72DaW7TGeetgA
John Dewey's Experience & Nature: A Centennial Celebration	10/16/2025	Carbondale, Illinois, United States of America	https://deweycenter.siu.edu/center-events/conference.php
Sound in Museums	10/17/2025	Mafra, Portugal	http://www.soundinmuseums.com
2025 2nd International Conference on Power Electronics and Energy System	10/16/2025	Bangkok, Thailand	https://www.icpees.org/
2nd International Conference on Software, Systems and Information Technology (SSITCON-2025)	10/17/2025	Tumkur, India	https://ssitcon.in/index.php
2025 International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics	10/17/2025	Mangalore, India	https://www.ieee-discover.org/
2nd International Conference on Artificial Intelligence, Metaverse, and Cybersecurity	10/17/2025	Dubai, United Arab Emirates	https://icamac.com/
The 12th International Conference on Behavioural and Social Computing	10/15/2025	Hong Kong, China	https://besc-conf.org/2025/
2nd International Conference on Power and Energy Systems (ICPES) – 2025	10/16/2025	Madurai, India	https://erg.org.in/icpes.html
PSLLT 2025: The 16th Pronunciation in Second Language Learning and Teaching Conference	10/15/2025	Montreal, Canada	https://psllt2025.ca
International Conference on Optimization and Applications	10/16/2025	Kenitra, Morocco	http://www.icoa-conf.org
The 21st International Conference on Intelligent Information Hiding and Multimedia Signal Processing	10/14/2025	Taichung, Taiwan	https://iihmsp25.github.io/
International Conference on Information Technology and Applications (ICITA)	10/14/2025	Oslo, Norway	https://www.icita.world
13th European Workshop on Visual Information Processing (EUVIP 2025)	10/13/2025	Valletta, Malta	https://www.euvip2025.org/
14th IEEE International Conference on Image Processing Theory Tools & Applications 2025	10/13/2025	Istanbul, Türkiye	https://ipta-conference.com/ipta25/
The Sixth International Conference on Civil Engineering Research 2025	10/14/2025	Surabaya, Indonesia	https://iccer.ce.its.ac.id/
1st International Colloquium Power Generation and Electromechanical Energy Conversion	10/12/2025	Dubrovnik, Croatia	https://icpgeec.org/
The 17th International Green Energy Conference & the 6th International Conference on Energy and AI & the 6th Arctic Energy Forum	10/12/2025	Reykjavik, Iceland	https://www.iage-net.org/igec2025
IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA) 2025	10/12/2025	Tahoe City, USA	https://waspaa.com/
